word,translation,example_sentence,category,difficulty
there,[there],There are five people in my family.,corrected_usage,beginner
five,[five],There are five people in my family.,corrected_usage,beginner
people,[people],There are five people in my family.,corrected_usage,beginner
family,परिवार (parivaar),There are five people in my family.,corrected_usage,beginner
